I typed <ps -o user,uid,pid,comm,rss,vsz -e > ~/Desktop/p1#3.txt> and got the
text below. Apon futher inspection you can see processe 3355, gnome-shell, is
using the most real memory, and processe 1100, console-kit-dae, is using the
most virtual memory.

USER       UID   PID COMMAND           RSS    VSZ
root         0 29034 ksoftirqd/1         0      0
root         0 29035 watchdog/1          0      0
root         0 29036 fcoethread/1        0      0
root         0 29037 migration/2         0      0
root         0 29039 ksoftirqd/2         0      0
root         0 29040 watchdog/2          0      0
root         0 29041 fcoethread/2        0      0
root         0 29042 migration/3         0      0
root         0 29044 ksoftirqd/3         0      0
root         0 29045 watchdog/3          0      0
root         0 29046 fcoethread/3        0      0
root         0 29059 kworker/3:1         0      0
root         0 29120 udevd            4112  20284
root         0 29124 udevd            4104  20284
root         0 29137 atd               848  16928

----- JD: Can you find a way to pull out this information without manual inspection?
